SID_NINJA_MOVEMENT				sounds/bipedm.wav	60		5		50	300	PRELOAD		2D	HW_MIXED
SID_NINJA_IDLE					sounds/bipedr.wav	60		5		35	200	PRELOAD		2D	HW_MIXED
SID_POD 						sounds/pod.wav 		60 	    2		50 400  PRELOAD		2D	HW_MIXED
SID_BOLTER  					sounds/bolter.wav	60		3		300  1250 	PRELOAD		2D	HW_MIXED
SID_HEAVYBOLTER 				sounds/hevybolt.wav	60		3		300  1275	PRELOAD		2D	HW_MIXED
SID_AUTOCANNON					sounds/autocan.wav	60		3		300   1350	PRELOAD		2D	HW_MIXED
SID_SUPERHEAL					sounds/suprheal.wav	60		3		300   1100 NOPRELOAD	2D
SID_FIRE						sounds/fire.wav		50   	5		100 	   500  PRELOAD	    2D	HW_MIXED
SID_ELECTRICCHARGE				sounds/electchg.wav	60		3		300   1300	PRELOAD		2D	HW_MIXED
SID_DOOR						sounds/move05.wav	60		1		50    750 PRELOAD		2D	HW_MIXED
SID_XPLODE1_MACHINE				sounds/xplode1.wav	60		20	  	500    1500	PRELOAD		2D	HW_MIXED
SID_XPLODE2_MACHINE				sounds/xplode1b.wav	60		20		500    1500	PRELOAD		2D	HW_MIXED
SID_XPLODE3_MACHINE				sounds/xplode2.wav	60		20		500   	1500	PRELOAD		2D	HW_MIXED
SID_XPLODE4_MACHINE				sounds/xplode2b.wav	60		20		500   	1500	PRELOAD		2D	HW_MIXED
SID_XPLODE5_MACHINE 			sounds/xplode3.wav	60		20		500    1500	PRELOAD		2D	HW_MIXED
SID_XPLODE6_MACHINE				sounds/xplode3b.wav	60		20		500    1500	PRELOAD		2D	HW_MIXED
SID_XPLODE1_MISSILE				sounds/misex1.wav	60		10		300   	1300	PRELOAD		2D	HW_MIXED
SID_XPLODE2_MISSILE				sounds/misex2.wav	60		10		300   	1300	PRELOAD		2D	HW_MIXED
SID_XPLODE3_MISSILE				sounds/misex3.wav	60		10		300   	1300	PRELOAD		2D	HW_MIXED
SID_XPLODE4_MISSILE				sounds/misex4.wav	60		10		300   	1300	PRELOAD		2D	HW_MIXED
SID_XPLODE_CONSTR_LARGE			sounds/xplode5.wav	60		30		500   	1500	PRELOAD		2D	HW_MIXED
SID_XPLODE_CONSTR_SMALL			sounds/xplode6.wav	55		30		500	1500	PRELOAD		2D	HW_MIXED
SID_FLAMETHROWER				sounds/flamethr.wav	60		3		300	1300	PRELOAD		2D	HW_MIXED
SID_IONCANNON					sounds/ioncan.wav	60		20		1000	1600	NOPRELOAD	2D
SID_MLAUNCH1					sounds/ml7.wav	    60		10		300	1400	PRELOAD		2D	HW_MIXED
SID_MLAUNCH2					sounds/ml4.wav		60		10		300	1400	PRELOAD		2D	HW_MIXED
SID_MLAUNCH3					sounds/ml1.wav		60		10		300	1400	PRELOAD		2D	HW_MIXED
SID_MLAUNCH4					sounds/ml2.wav		60		10		300	1400	PRELOAD		2D	HW_MIXED
SID_MLAUNCH5					sounds/mislnch.wav	60		10		300	1400	PRELOAD		2D	HW_MIXED
SID_MLAUNCH6					sounds/ml8.wav		60		10		300	1400	PRELOAD		2D	HW_MIXED
SID_MLAUNCH7					sounds/ml5.wav		60		10		300	1400	PRELOAD		2D	HW_MIXED 
SID_MLAUNCH8					sounds/mlwar.wav	60		10		300	1400	PRELOAD		2D	HW_MIXED 
SID_LARGEMLAUNCH				sounds/mutilnch.wav	60		20		300	1400	PRELOAD		2D	HW_MIXED
SID_MFLY						sounds/dopplerm.wav	60		3		100  	1400	PRELOAD		2D	HW_MIXED
