SID_POD 						sounds/pod.wav 		100 	25		1000 400  PRELOAD		3D	HW_MIXED
SID_BOLTER  					sounds/bolter.wav	100		30		1000  1250 	PRELOAD		3D	HW_MIXED
SID_HEAVYBOLTER 				sounds/hevybolt.wav	100		30		1000  1275	PRELOAD		3D	HW_MIXED
SID_AUTOCANNON					sounds/autocan.wav	100		30		1000   1350	PRELOAD		3D	HW_MIXED
SID_SUPERHEAL					sounds/suprheal.wav	100		30		1000   1100 NOPRELOAD	3D
SID_FIRE						sounds/fire.wav		60   	5		50 	   500  PRELOAD	    3D	HW_MIXED
SID_ELECTRICCHARGE				sounds/electchg.wav	100		30		1000   1300	PRELOAD		3D	HW_MIXED
SID_DOOR						sounds/move05.wav	100		15		500    750 PRELOAD		3D	HW_MIXED
SID_XPLODE1_MACHINE				sounds/xplode1.wav	100		30		1000    1500	PRELOAD		3D	HW_MIXED
SID_XPLODE2_MACHINE				sounds/xplode1b.wav	100		30		1000    1500	PRELOAD		3D	HW_MIXED
SID_XPLODE3_MACHINE				sounds/xplode2.wav	100		30		1000   	1500	PRELOAD		3D	HW_MIXED
SID_XPLODE4_MACHINE				sounds/xplode2b.wav	100		30		1000   	1500	PRELOAD		3D	HW_MIXED
SID_XPLODE5_MACHINE 			sounds/xplode3.wav	100		30		1000    1500	PRELOAD		3D	HW_MIXED
SID_XPLODE6_MACHINE				sounds/xplode3b.wav	100		30		1000    1500	PRELOAD		3D	HW_MIXED
SID_XPLODE1_MISSILE				sounds/misex1.wav	100		20		1000   	1300	PRELOAD		3D	HW_MIXED
SID_XPLODE2_MISSILE				sounds/misex2.wav	100		20		1000   	1300	PRELOAD		3D	HW_MIXED
SID_XPLODE3_MISSILE				sounds/misex3.wav	100		20		1000   	1300	PRELOAD		3D	HW_MIXED
SID_XPLODE4_MISSILE				sounds/misex4.wav	100		20		1000   	1300	PRELOAD		3D	HW_MIXED
