VID_GRUNT_SELF_DESTRUCT		sounds\vemail\Grunt\Gt_SDT_1.wav VM_FULL_FUNCTION 10 NO_PRELOAD
VID_GRUNT_BUILT0			sounds\vemail\Grunt\Gt_GNT_1.wav VM_FULL_FUNCTION 10 NO_PRELOAD
VID_GRUNT_BUILT1			sounds\vemail\Grunt\Gt_GNT_2.wav VM_FULL_FUNCTION 10 NO_PRELOAD
VID_GRUNT_DESTROYED			sounds\vemail\Grunt\Gt_DES_1.wav VM_PART_FUNCTION 10 NO_PRELOAD
VID_GRUNT_NEAR_DEATH0		sounds\vemail\Grunt\Gt_BAD_1.wav VM_FULL_FUNCTION 10 NO_PRELOAD
VID_GRUNT_NEAR_DEATH1		sounds\vemail\Grunt\Gt_BAD_2.wav VM_FULL_FUNCTION 10 NO_PRELOAD
VID_GRUNT_NEAR_DEATH2		sounds\vemail\Grunt\Gt_BAD_3.wav VM_FULL_FUNCTION 10 NO_PRELOAD
VID_GRUNT_NEAR_DEATH3		sounds\vemail\Grunt\Gt_BAD_4.wav VM_FULL_FUNCTION 10 NO_PRELOAD
VID_GRUNT_CHANGED_RACE0		sounds\vemail\Grunt\Gt_TRE_1.wav VM_FULL_FUNCTION 10 NO_PRELOAD
VID_GRUNT_CHANGED_RACE1		sounds\vemail\Grunt\Gt_TRE_2.wav VM_FULL_FUNCTION 10 NO_PRELOAD
VID_GRUNT_VIRUS_INFECTED	sounds\vemail\Grunt\Gt_TRE_1.wav VM_FULL_FUNCTION 10 NO_PRELOAD
VID_GRUNT_DAMAGED			sounds\vemail\Grunt\Gt_DAM_1.wav VM_PART_FUNCTION 10 NO_PRELOAD
VID_GRUNT_TASKED0			sounds\vemail\Grunt\Gt_TAS_1.wav VM_TASK_AFFIRMATION 10 NO_PRELOAD
VID_GRUNT_TASKED1			sounds\vemail\Grunt\Gt_TAS_2.wav VM_TASK_AFFIRMATION 10 NO_PRELOAD
VID_GRUNT_TASKED2			sounds\vemail\Grunt\Gt_TAS_3.wav VM_TASK_AFFIRMATION 10 NO_PRELOAD
VID_GRUNT_TASKED3			sounds\vemail\Grunt\Gt_TAS_4.wav VM_TASK_AFFIRMATION 10 NO_PRELOAD
VID_GRUNT_MOVING0			sounds\vemail\Grunt\Gt_MOV_1.wav VM_TASK_AFFIRMATION 10 NO_PRELOAD
VID_GRUNT_MOVING1			sounds\vemail\Grunt\Gt_MOV_2.wav VM_TASK_AFFIRMATION 10 NO_PRELOAD
VID_GRUNT_MOVING2			sounds\vemail\Grunt\Gt_MOV_3.wav VM_TASK_AFFIRMATION 10 NO_PRELOAD
VID_GRUNT_MOVING3			sounds\vemail\Grunt\Gt_MOV_4.wav VM_TASK_AFFIRMATION 10 NO_PRELOAD
VID_GRUNT_SELECTED0			sounds\vemail\Grunt\Gt_SEL_1.wav VM_SELECTION_AFFIRMATION 10 NO_PRELOAD
VID_GRUNT_SELECTED1			sounds\vemail\Grunt\Gt_SEL_2.wav VM_SELECTION_AFFIRMATION 10 NO_PRELOAD
VID_GRUNT_SELECTED2			sounds\vemail\Grunt\Gt_SEL_3.wav VM_SELECTION_AFFIRMATION 10 NO_PRELOAD

VID_GRUNT_TARGET_ENEMY0		sounds\vemail\Grunt\Gt_ATT_1.wav VM_TASK_AFFIRMATION 10 NO_PRELOAD
